,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1123.0,2861.0,1120.5,2364.5,1555.5,3111.0,692.5,3116.5,1085.5,273.0,1230.0,1291.0
1,1123.0,2861.0,1121.5,2364.5,1555.5,3111.0,693.5,3117.5,1086.5,274.0,1230.5,1291.5
2,1123.5,2861.5,1121.0,2365.0,1555.5,3111.0,693.0,3117.0,1086.0,272.5,1230.5,1291.5
3,1123.0,2862.0,1121.5,2365.5,1556.5,3111.0,693.5,3117.5,1086.0,272.5,1231.0,1292.0
4,1123.0,2862.0,1121.5,2364.5,1555.5,3111.0,693.0,3117.0,1086.5,273.0,1231.0,1292.5
5,1124.0,2862.0,1121.0,2365.0,1555.0,3111.5,693.0,3117.0,1086.5,273.0,1230.5,1291.5
6,1124.0,2863.0,1121.5,2365.5,1556.0,3111.5,693.5,3117.5,1085.5,272.0,1230.5,1291.5
7,1123.0,2862.0,1120.5,2364.5,1555.5,3112.0,692.5,3117.5,1086.5,273.0,1231.0,1292.0
8,1124.0,2862.0,1121.5,2364.5,1555.5,3112.0,692.5,3117.5,1086.5,273.0,1231.5,1292.5
9,1124.5,2862.5,1121.0,2365.0,1555.5,3112.0,693.0,3118.0,1086.5,273.0,1230.5,1292.5
10,1123.5,2862.5,1120.5,2365.5,1555.5,3112.0,692.5,3117.5,1085.0,272.5,1230.0,1292.0
11,1123.5,2862.5,1120.5,2365.5,1555.0,3111.5,692.5,3117.5,1085.5,274.0,1230.0,1292.0
12,1123.5,2863.5,1121.5,2364.5,1556.0,3112.5,692.5,3118.5,1085.5,273.0,1230.0,1292.5
13,1123.0,2863.0,1120.0,2365.0,1555.5,3112.0,692.0,3117.0,1086.0,273.5,1230.0,1292.0
14,1123.5,2863.5,1121.5,2364.5,1555.5,3111.0,692.5,3117.5,1086.0,273.5,1231.0,1292.5
15,1123.5,2862.5,1120.5,2365.5,1555.5,3112.0,692.5,3117.5,1086.0,272.5,1230.5,1292.5
16,1123.5,2862.5,1120.0,2365.0,1554.5,3112.0,691.5,3117.5,1086.5,273.0,1230.0,1292.0
17,1124.0,2863.0,1121.5,2365.5,1555.5,3111.0,693.0,3118.0,1086.5,273.0,1231.0,1291.5
18,1124.0,2863.0,1120.5,2364.5,1554.5,3112.0,692.0,3118.0,1085.5,272.0,1230.5,1291.5
19,1123.5,2862.5,1120.5,2365.5,1555.5,3111.0,692.5,3117.5,1086.5,272.0,1230.5,1292.5
20,1123.5,2862.5,1120.5,2364.5,1555.0,3111.5,692.5,3116.5,1086.0,272.5,1230.0,1291.0
21,1123.5,2862.5,1120.5,2364.5,1555.0,3111.5,691.5,3117.5,1086.0,272.5,1230.0,1292.0
22,1123.0,2863.0,1121.5,2364.5,1556.0,3111.5,692.5,3117.5,1086.0,272.5,1231.0,1292.5
23,1124.0,2863.0,1121.0,2365.0,1556.0,3111.5,692.5,3117.5,1086.0,272.5,1230.0,1292.0
24,1124.0,2862.0,1121.0,2365.0,1556.0,3112.5,692.5,3117.5,1087.5,272.0,1231.0,1292.0
25,1124.0,2862.0,1120.5,2365.5,1556.0,3111.5,692.5,3116.5,1089.0,271.5,1231.0,1292.0
26,1123.0,2862.0,1120.5,2363.5,1555.5,3111.0,691.5,3116.5,1089.0,272.5,1230.5,1292.5
27,1123.0,2862.0,1118.5,2364.5,1555.5,3110.0,692.5,3118.5,1091.5,272.0,1231.0,1291.5
28,1123.0,2862.0,1113.5,2364.5,1557.5,3106.0,695.5,3122.5,1092.5,272.0,1230.0,1291.0
29,1121.5,2861.5,1104.5,2364.5,1558.5,3099.0,696.5,3127.5,1093.5,272.0,1230.0,1292.0
30,1121.5,2862.5,1101.0,2364.0,1562.5,3095.0,699.5,3131.5,1094.5,272.0,1230.0,1291.5
31,1122.5,2861.5,1100.5,2364.5,1563.0,3093.5,701.5,3133.5,1095.5,272.0,1230.0,1291.5
32,1120.5,2862.5,1093.5,2364.5,1564.0,3090.5,702.0,3137.0,1096.0,271.5,1229.0,1291.5
33,1121.5,2862.5,1089.5,2364.5,1568.0,3086.5,706.0,3141.0,1097.0,272.5,1229.0,1291.5
34,1122.0,2862.0,1085.5,2365.5,1570.5,3081.0,709.0,3146.0,1099.5,272.0,1230.0,1291.0
35,1121.0,2862.0,1080.5,2365.5,1570.5,3076.0,709.5,3148.5,1100.5,272.0,1229.5,1291.5
36,1121.0,2861.0,1077.5,2365.5,1571.5,3074.0,712.5,3151.5,1101.0,272.5,1229.5,1291.5
37,1121.5,2861.5,1073.0,2366.0,1573.5,3071.0,715.5,3155.5,1102.5,273.0,1230.0,1291.0
38,1121.5,2861.5,1069.0,2367.0,1575.5,3066.0,717.5,3158.5,1103.5,273.0,1229.0,1291.0
39,1121.5,2862.5,1065.0,2368.0,1577.5,3061.0,720.5,3162.5,1104.5,273.0,1230.0,1292.0
40,1121.0,2862.0,1060.5,2367.5,1578.5,3057.0,723.0,3166.0,1105.5,273.0,1230.0,1291.5
41,1121.5,2861.5,1056.0,2367.0,1580.5,3054.0,725.0,3167.0,1106.5,272.0,1230.0,1291.5
42,1121.5,2861.5,1053.5,2368.5,1581.5,3051.0,727.5,3171.5,1108.0,273.5,1229.0,1292.0
43,1121.5,2861.5,1048.5,2368.5,1582.5,3047.0,729.5,3174.5,1108.5,273.0,1229.5,1292.5
44,1121.0,2861.0,1043.5,2368.5,1585.5,3042.0,732.5,3178.5,1110.5,273.0,1228.0,1292.0
45,1121.5,2861.5,1040.5,2369.5,1585.5,3038.0,734.5,3180.5,1110.5,273.0,1229.0,1292.0
46,1121.5,2860.5,1037.5,2369.5,1586.5,3035.0,735.5,3182.5,1111.5,273.0,1229.0,1291.5
47,1120.5,2861.5,1033.5,2370.5,1587.5,3032.0,738.5,3186.5,1113.5,274.0,1229.0,1291.5
48,1121.5,2860.5,1030.0,2370.0,1589.5,3029.0,741.5,3187.5,1113.5,274.0,1227.5,1292.5
49,1120.5,2860.5,1027.0,2371.0,1589.5,3025.0,741.5,3191.5,1114.5,273.0,1228.0,1291.5
50,1120.5,2860.5,1025.0,2371.0,1590.5,3023.0,744.0,3191.0,1115.5,273.0,1228.0,1291.5
51,1120.5,2860.5,1021.5,2371.5,1591.5,3019.0,745.0,3193.0,1117.5,273.0,1228.0,1291.5
52,1119.5,2859.5,1017.0,2372.0,1591.5,3016.0,747.5,3195.5,1117.5,273.0,1228.0,1291.5
53,1119.5,2859.5,1014.0,2372.0,1593.5,3013.0,750.5,3198.5,1119.5,273.0,1228.0,1291.5
54,1119.5,2859.5,1011.0,2373.0,1593.5,3009.0,751.5,3201.5,1119.5,273.0,1227.0,1291.5
55,1119.5,2858.5,1007.5,2373.5,1594.5,3006.0,754.5,3203.5,1120.5,273.0,1227.0,1291.5
56,1119.5,2859.5,1004.0,2374.0,1595.5,3002.0,756.5,3205.5,1120.5,272.0,1227.0,1291.5
57,1120.5,2858.5,1002.0,2376.0,1596.5,3000.0,757.5,3207.5,1122.5,273.0,1227.0,1291.5
58,1119.5,2859.5,999.0,2376.0,1597.5,2997.0,760.5,3209.5,1123.5,273.0,1227.0,1291.5
59,1120.5,2858.5,997.5,2376.5,1597.5,2995.0,761.5,3211.5,1125.5,273.0,1227.0,1291.5
60,1119.5,2858.5,993.5,2376.5,1598.5,2991.0,763.5,3212.5,1126.5,273.0,1227.0,1291.5
61,1119.5,2858.5,990.5,2377.5,1599.5,2988.0,766.5,3216.5,1127.5,273.0,1225.0,1292.0
62,1119.5,2859.5,984.5,2379.5,1600.5,2983.0,770.5,3220.5,1128.5,273.0,1225.5,1292.5
63,1119.5,2858.5,979.5,2380.5,1602.5,2979.0,774.5,3224.5,1129.5,273.0,1225.0,1292.0
64,1119.5,2859.5,976.5,2381.5,1602.5,2974.0,776.5,3226.5,1130.5,273.0,1225.0,1292.0
65,1120.5,2858.5,972.0,2383.0,1604.5,2969.0,780.5,3230.5,1131.5,273.0,1224.5,1292.5
66,1119.5,2859.5,969.0,2384.0,1604.5,2966.0,782.5,3231.5,1133.5,273.0,1224.0,1292.0
67,1119.5,2859.5,965.5,2385.5,1605.5,2962.0,785.5,3235.5,1133.5,273.0,1224.0,1292.0
68,1119.5,2859.5,959.0,2388.0,1606.5,2957.0,789.5,3239.5,1135.5,273.0,1223.0,1292.0
69,1119.5,2859.5,956.0,2390.0,1606.5,2952.0,794.5,3242.5,1135.5,272.0,1223.0,1292.0
70,1119.5,2858.5,952.0,2391.0,1608.5,2948.0,796.5,3244.5,1137.5,272.0,1223.0,1292.0
71,1119.5,2859.5,947.5,2392.5,1608.5,2944.0,799.5,3248.5,1138.5,272.0,1222.5,1292.5
72,1119.5,2859.5,943.5,2393.5,1610.5,2940.0,803.5,3250.5,1139.5,273.0,1221.5,1292.5
73,1119.5,2859.5,940.0,2395.0,1609.5,2936.0,805.5,3253.5,1140.5,273.0,1221.5,1292.5
74,1119.5,2860.5,937.0,2397.0,1611.5,2932.0,809.5,3256.5,1142.5,274.0,1220.5,1292.5
75,1120.5,2859.5,933.0,2398.0,1611.5,2928.0,812.5,3257.5,1142.5,273.0,1220.5,1292.5
76,1119.5,2859.5,927.5,2400.5,1611.5,2923.0,816.5,3261.5,1143.5,273.0,1219.0,1292.0
77,1119.5,2859.5,924.0,2403.0,1612.5,2919.0,819.5,3265.5,1144.5,274.0,1219.0,1292.0
78,1120.5,2860.5,920.5,2403.5,1612.5,2915.0,823.5,3266.5,1146.5,274.0,1219.0,1293.0
79,1119.5,2859.5,916.5,2405.5,1613.5,2911.0,825.5,3269.5,1146.5,274.0,1218.0,1293.0
80,1119.5,2860.5,912.5,2406.5,1613.5,2908.0,829.5,3271.5,1148.5,273.0,1218.0,1293.0
81,1120.5,2859.5,909.5,2408.5,1613.5,2903.0,833.5,3273.5,1149.5,273.0,1218.0,1292.5
82,1119.5,2859.5,904.5,2410.5,1614.5,2899.0,836.5,3276.5,1149.5,274.0,1217.0,1291.5
83,1119.5,2860.5,901.5,2412.5,1614.5,2895.0,839.5,3279.5,1150.5,274.0,1216.0,1292.0
84,1119.5,2859.5,897.5,2413.5,1614.5,2891.0,842.5,3280.5,1151.5,274.0,1215.0,1292.0
85,1119.5,2860.5,893.5,2416.5,1614.5,2887.0,846.5,3283.5,1152.5,273.0,1214.0,1292.0
86,1119.5,2859.5,890.0,2417.0,1614.5,2882.0,849.5,3285.5,1153.5,273.0,1214.0,1292.0
87,1119.5,2859.5,887.0,2419.0,1615.5,2878.0,853.5,3286.5,1154.5,273.0,1214.0,1292.0
88,1119.5,2859.5,883.0,2423.0,1615.5,2874.0,856.5,3290.5,1156.5,274.0,1213.5,1292.5
89,1119.5,2860.5,880.0,2424.0,1614.5,2870.0,860.5,3292.5,1156.5,274.0,1212.5,1291.5
90,1119.5,2860.5,875.0,2427.0,1615.5,2865.0,864.5,3294.5,1157.5,274.0,1212.0,1292.0
91,1119.5,2860.5,871.0,2428.0,1614.5,2860.0,868.5,3297.5,1159.5,274.0,1211.0,1292.0
92,1119.5,2860.5,867.0,2431.0,1615.5,2856.0,871.5,3298.5,1159.5,273.0,1211.0,1292.0
93,1118.5,2860.5,864.0,2433.0,1614.5,2852.0,875.5,3301.5,1160.5,273.0,1211.0,1291.5
94,1119.5,2860.5,860.0,2436.0,1615.5,2847.0,879.5,3303.5,1162.5,273.0,1209.0,1291.5
95,1119.5,2859.5,856.0,2439.0,1614.5,2842.0,884.5,3305.5,1162.5,273.0,1208.0,1291.5
96,1119.5,2860.5,852.5,2440.5,1614.5,2838.0,888.5,3308.5,1164.5,273.0,1207.0,1291.5
97,1119.5,2859.5,848.0,2444.0,1614.5,2834.0,891.5,3310.5,1164.5,273.0,1207.0,1291.5
98,1119.5,2860.5,844.0,2447.0,1614.5,2829.0,896.5,3312.5,1165.5,273.0,1206.5,1292.5
99,1119.5,2860.5,841.0,2449.0,1614.5,2824.0,901.5,3314.5,1167.5,273.0,1205.5,1291.5
100,1119.5,2860.5,837.0,2451.0,1612.5,2819.0,904.5,3316.5,1168.5,273.0,1205.0,1291.5
101,1119.5,2859.5,833.0,2453.0,1613.5,2814.0,909.5,3318.5,1168.5,273.0,1204.5,1291.5
102,1119.5,2860.5,829.0,2457.0,1612.5,2810.0,913.5,3320.5,1170.5,273.0,1203.0,1291.5
103,1119.5,2860.5,825.0,2460.0,1611.5,2805.0,917.5,3322.5,1170.5,272.0,1203.0,1291.5
104,1119.5,2860.5,821.0,2463.0,1611.5,2800.0,921.5,3325.5,1172.5,272.0,1202.0,1290.5
105,1119.5,2860.5,818.0,2466.0,1611.5,2796.0,926.5,3326.5,1173.5,272.0,1201.0,1290.5
106,1119.5,2860.5,813.0,2469.0,1610.5,2791.0,931.5,3329.5,1174.5,272.0,1200.0,1290.5
107,1120.5,2860.5,810.0,2472.0,1610.5,2786.0,935.5,3330.5,1175.5,272.0,1200.0,1291.5
108,1119.5,2860.5,806.0,2475.0,1608.5,2782.0,939.5,3331.5,1175.5,272.0,1198.0,1290.5
109,1119.5,2861.5,802.0,2478.0,1607.5,2777.0,944.5,3334.5,1178.5,272.0,1198.0,1290.5
110,1119.5,2860.5,799.0,2481.0,1607.5,2773.0,947.5,3335.5,1178.5,272.0,1198.0,1290.5
111,1119.5,2860.5,795.0,2484.0,1606.5,2768.0,952.5,3336.5,1179.5,272.0,1196.0,1290.5
